time,value
00:00,4123.600
00:05,4097.960
00:10,4091.670
00:15,4069.010
00:20,4071.070
00:25,4051.680
00:30,4027.400
00:35,3984.230
00:40,3965.200
00:45,3938.170
00:50,3933.990
00:55,3902.310
01:00,3883.190
01:05,3854.410
01:10,3831.770
01:15,3817.040
01:20,3806.170
01:25,3780.650
01:30,3765.280
01:35,3752.250
01:40,3728.330
01:45,3710.930
01:50,3725.380
01:55,3698.920
02:00,3680.110
02:05,3678.100
02:10,3656.280
02:15,3645.180
02:20,3631.910
02:25,3598.450
02:30,3604.430
02:35,3588.330
02:40,3563.080
02:45,3551.890
02:50,3551.160
02:55,3537.720
03:00,3527.690
03:05,3495.340
03:10,3487.460
03:15,3478.840
03:20,3449.440
03:25,3437.860
03:30,3440.680
03:35,3430.670
03:40,3403.110
03:45,3394.030
03:50,3374.260
03:55,3384.280
04:00,3370.070
04:05,3371.570
04:10,3367.920
04:15,3344.080
04:20,3351.400
04:25,3333.150
04:30,3318.390
04:35,3333.470
04:40,3326.860
04:45,3312.530
04:50,3322.870
04:55,3312.960
05:00,3297.600
05:05,3319.790
05:10,3328.570
05:15,3327.970
05:20,3354.290
05:25,3331.100
05:30,3353.950
05:35,3350.010
05:40,3373.980
05:45,3365.690
05:50,3371.520
05:55,3410.240
06:00,3423.600
06:05,3394.150
06:10,3409.400
06:15,3486.340
06:20,3507.090
06:25,3536.130
06:30,3544.920
06:35,3559.460
06:40,3579.630
06:45,3581.030
06:50,3590.470
06:55,3576.140
07:00,3577.390
07:05,3590.080
07:10,3592.850
07:15,3609.260
07:20,3619.080
07:25,3602.650
07:30,3578.290
07:35,3586.360
07:40,3632.440
07:45,3627.450
07:50,3599.410
07:55,3619.000
08:00,3624.960
08:05,3633.870
08:10,3635.080
08:15,3676.250
08:20,3753.170
08:25,3736.020
08:30,3768.450
08:35,3792.870
08:40,3820.770
08:45,3801.560
08:50,3782.860
08:55,3820.720
09:00,3840.080
09:05,3845.180
09:10,3917.660
09:15,3965.020
09:20,4064.610
09:25,4128.460
09:30,4151.930
09:35,4203.290
09:40,4271.110
09:45,4285.340
09:50,4342.890
09:55,4346.280
10:00,4388.400
10:05,4399.560
10:10,4463.820
10:15,4465.950
10:20,4481.100
10:25,4498.510
10:30,4580.920
10:35,4553.680
10:40,4579.070
10:45,4614.940
10:50,4544.040
10:55,4594.690
11:00,4567.650
11:05,4570.600
11:10,4636.260
11:15,4681.560
11:20,4637.050
11:25,4672.550
11:30,4641.870
11:35,4670.180
11:40,4672.070
11:45,4698.690
11:50,4654.230
11:55,4726.100
12:00,4709.410
12:05,4725.030
12:10,4674.120
12:15,4699.010
12:20,4695.190
12:25,4679.420
12:30,4705.630
12:35,4697.450
12:40,4676.270
12:45,4696.720
12:50,4729.760
12:55,4694.860
13:00,4649.940
13:05,4615.410
13:10,4586.900
13:15,4571.680
13:20,4584.600
13:25,4546.210
13:30,4555.240
13:35,4611.120
13:40,4582.110
13:45,4618.960
13:50,4616.100
13:55,4677.970
14:00,4691.920
14:05,4701.130
14:10,4757.670
14:15,4752.010
14:20,4811.850
14:25,4839.680
14:30,4857.920
14:35,4854.980
14:40,4876.370
14:45,4943.720
14:50,4909.810
14:55,4942.820
15:00,4965.250
15:05,4999.090
15:10,5000.970
15:15,4984.690
15:20,5016.020
15:25,5060.040
15:30,5016.900
15:35,4987.690
15:40,5033.620
15:45,5069.140
15:50,5028.520
15:55,5016.850
16:00,5025.950
16:05,5013.390
16:10,5002.850
16:15,4979.100
16:20,4960.740
16:25,4947.990
16:30,4963.810
16:35,4923.820
16:40,4929.850
16:45,4904.120
16:50,4877.540
16:55,4893.150
17:00,4892.060
17:05,4989.880
17:10,4910.650
17:15,4886.110
17:20,4897.840
17:25,4835.460
17:30,4840.670
17:35,4833.680
17:40,4813.970
17:45,4798.660
17:50,4764.870
17:55,4730.200
18:00,4709.830
18:05,4716.690
18:10,4666.740
18:15,4684.410
18:20,4687.400
18:25,4649.450
18:30,4662.030
18:35,4669.060
18:40,4653.660
18:45,4601.500
18:50,4639.720
18:55,4645.160
19:00,4611.890
19:05,4594.030
19:10,4645.580
19:15,4683.730
19:20,4739.700
19:25,4698.750
19:30,4742.960
19:35,4733.340
19:40,4791.830
19:45,4788.750
19:50,4757.140
19:55,4775.710
20:00,4783.830
20:05,4766.480
20:10,4752.680
20:15,4745.100
20:20,4778.390
20:25,4780.130
20:30,4774.620
20:35,4767.770
20:40,4769.130
20:45,4788.650
20:50,4772.050
20:55,4799.110
21:00,4769.800
21:05,4765.500
21:10,4745.400
21:15,4770.150
21:20,4806.640
21:25,4840.810
21:30,4840.710
21:35,4866.630
21:40,4880.290
21:45,4903.710
21:50,4929.050
21:55,4986.250
22:00,5010.280
22:05,4968.700
22:10,4953.520
22:15,4959.210
22:20,5009.240
22:25,5052.440
22:30,5091.780
22:35,5074.890
22:40,5131.540
22:45,5150.110
22:50,5153.560
22:55,5161.070
23:00,5176.000
23:05,5174.090
23:10,5098.410
23:15,5142.900
23:20,5135.440
23:25,5129.440
23:30,5087.400
23:35,5107.200
23:40,5055.590
23:45,5058.330
23:50,5030.530
23:55,4987.080
