Date,Load
16/11/2018,16472
17/11/2018,14963
18/11/2018,15694
19/11/2018,16372
20/11/2018,16690
21/11/2018,16697
22/11/2018,16012
23/11/2018,16592
24/11/2018,15214
25/11/2018,15375
26/11/2018,16528
27/11/2018,16563
28/11/2018,16790
29/11/2018,16637
30/11/2018,16301
01/12/2018,15277
02/12/2018,15541
03/12/2018,16069
04/12/2018,17335
05/12/2018,17538
06/12/2018,17271
07/12/2018,17103
08/12/2018,16938
09/12/2018,17218
10/12/2018,17877
11/12/2018,17816
12/12/2018,17806
13/12/2018,17957
14/12/2018,16573
15/12/2018,15158
16/12/2018,16213
17/12/2018,17274
18/12/2018,18160
19/12/2018,17477
20/12/2018,16701
21/12/2018,15680
22/12/2018,15278
23/12/2018,15787
24/12/2018,15741
25/12/2018,14532
26/12/2018,17090
27/12/2018,16918
28/12/2018,15980
29/12/2018,14950
30/12/2018,15992
31/12/2018,16017
01/01/2019,15311
02/01/2019,17314
03/01/2019,16661
04/01/2019,15959
05/01/2019,15416
06/01/2019,16122
07/01/2019,17835
08/01/2019,16865
09/01/2019,16669
10/01/2019,17371
11/01/2019,17657
12/01/2019,17027
13/01/2019,17193
14/01/2019,17713
15/01/2019,17382
16/01/2019,17154
17/01/2019,17618
18/01/2019,16561
19/01/2019,16500
20/01/2019,17442
21/01/2019,20492
22/01/2019,18871
23/01/2019,17488
24/01/2019,16163
25/01/2019,16448
26/01/2019,16127
27/01/2019,16026
28/01/2019,17714
29/01/2019,17777
30/01/2019,18025
31/01/2019,19420
01/02/2019,18278
02/02/2019,16892
03/02/2019,16260
04/02/2019,15686
05/02/2019,15370
06/02/2019,16308
07/02/2019,16272
08/02/2019,15543
09/02/2019,16123
10/02/2019,16433
11/02/2019,17058
12/02/2019,18078
13/02/2019,16626
14/02/2019,16330
15/02/2019,15450
16/02/2019,14870
17/02/2019,15417
18/02/2019,16963
19/02/2019,17341
20/02/2019,17502
21/02/2019,16033
22/02/2019,15491
23/02/2019,14962
24/02/2019,15323
25/02/2019,17044
26/02/2019,17692
27/02/2019,17883
28/02/2019,17156
01/03/2019,16209
02/03/2019,15514
03/03/2019,15315
