Date,Hour,Min,Load
05-01-2018,4,30,1621.400
05-01-2018,5,0,1701.830
05-01-2018,5,30,1903.870
05-01-2018,6,0,2190.110
05-01-2018,6,30,2588.290
05-01-2018,7,0,2900.410
05-01-2018,7,30,3351.800
05-01-2018,8,0,3719.770
05-01-2018,8,30,3921.470
05-01-2018,9,0,4044.850
05-01-2018,9,30,4210.650
05-01-2018,10,0,4420.980
05-01-2018,10,30,4422.290
05-01-2018,11,0,4354.050
05-01-2018,11,30,4184.170
05-01-2018,12,0,4210.380
05-01-2018,12,30,4006.120
05-01-2018,13,0,3705.930
05-01-2018,13,30,3395.170
05-01-2018,14,0,3391.410
05-01-2018,14,30,3392.950
05-01-2018,15,0,3327.540
05-01-2018,15,30,3276.290
05-01-2018,16,0,3279.910
05-01-2018,16,30,3272.150
05-01-2018,17,0,3314.970
05-01-2018,17,30,3455.300
05-01-2018,18,0,3625.050
05-01-2018,18,30,3598.010
05-01-2018,19,0,3585.620
05-01-2018,19,30,3578.370
05-01-2018,20,0,3482.050
05-01-2018,20,30,3305.450
05-01-2018,21,0,3141.630
05-01-2018,21,30,3001.410
05-01-2018,22,0,2900.670
05-01-2018,22,30,2671.450
05-01-2018,23,0,2468.040
05-01-2018,23,30,2235.360
06-01-2018,0,0,2044.620
06-01-2018,0,30,1884.370
06-01-2018,1,0,1770.700
06-01-2018,1,30,1699.760
06-01-2018,2,0,1652.060
06-01-2018,2,30,1624.220
06-01-2018,3,0,1586.860
06-01-2018,3,30,1575.080
06-01-2018,4,0,1585.720
06-01-2018,4,30,1622.640
06-01-2018,5,0,1720.750
06-01-2018,5,30,1895.720
06-01-2018,6,0,2142.760
06-01-2018,6,30,2459.700
06-01-2018,7,0,2758.200
06-01-2018,7,30,3134.270
06-01-2018,8,0,3466.270
06-01-2018,8,30,3656.720
06-01-2018,9,0,3455.110
06-01-2018,9,30,3902.880
06-01-2018,10,0,4106.300
06-01-2018,10,30,4125.840
06-01-2018,11,0,4044.030
06-01-2018,11,30,3961.590
06-01-2018,12,0,3780.970
06-01-2018,12,30,3654.090
06-01-2018,13,0,3413.190
06-01-2018,13,30,3167.330
06-01-2018,14,0,3106.640
06-01-2018,14,30,3086.430
06-01-2018,15,0,3003.460
06-01-2018,15,30,2937.520
06-01-2018,16,0,2934.670
06-01-2018,16,30,2936.470
06-01-2018,17,0,2995.290
06-01-2018,17,30,3107.940
06-01-2018,18,0,3305.260
06-01-2018,18,30,3400.310
06-01-2018,19,0,3391.530
06-01-2018,19,30,3363.970
06-01-2018,20,0,3286.740
06-01-2018,20,30,3139.320
06-01-2018,21,0,3019.760
06-01-2018,21,30,2880.550
06-01-2018,22,0,2749.080
06-01-2018,22,30,2556.950
06-01-2018,23,0,2345.050
06-01-2018,23,30,2150.470
07-01-2018,0,0,1936.810
07-01-2018,0,30,1798.120
07-01-2018,1,0,1689.170
07-01-2018,1,30,1606.010
07-01-2018,2,0,1549.740
07-01-2018,2,30,1525.720
07-01-2018,3,0,1496.770
07-01-2018,3,30,1479.210
07-01-2018,4,0,1489.260
07-01-2018,4,30,1536.530
07-01-2018,5,0,1606.620
07-01-2018,5,30,1769.120
07-01-2018,6,0,1974.520
07-01-2018,6,30,2209.140
07-01-2018,7,0,2437.110
07-01-2018,7,30,2829.970
07-01-2018,8,0,3202.450
07-01-2018,8,30,3381.850
07-01-2018,9,0,3549.070
07-01-2018,9,30,3815.950
07-01-2018,10,0,3948.490
07-01-2018,10,30,3990.950
07-01-2018,11,0,4016.470
07-01-2018,11,30,3913.620
07-01-2018,12,0,3854.980
07-01-2018,12,30,3682.730
07-01-2018,13,0,3434.180
07-01-2018,13,30,3182.240
07-01-2018,14,0,3093.860
07-01-2018,14,30,2992.600
07-01-2018,15,0,2862.560
07-01-2018,15,30,2759.550
07-01-2018,16,0,2743.470
07-01-2018,16,30,2732.670
07-01-2018,17,0,2771.410
07-01-2018,17,30,2878.660
07-01-2018,18,0,3109.540
07-01-2018,18,30,3221.300
07-01-2018,19,0,3197.690
