time,value
00:00,1857.390
00:05,1833.830
00:10,1824.920
00:15,1807.200
00:20,1779.990
00:25,1766.870
00:30,1758.900
00:35,1735.370
00:40,1732.180
00:45,1718.670
00:50,1694.320
00:55,1675.810
01:00,1659.180
01:05,1656.290
01:10,1625.870
01:15,1614.630
01:20,1612.260
01:25,1596.660
01:30,1568.210
01:35,1572.590
01:40,1585.620
01:45,1580.470
01:50,1571.980
01:55,1560.400
02:00,1551.470
02:05,1542.570
02:10,1531.440
02:15,1535.090
02:20,1526.080
02:25,1533.320
02:30,1507.060
02:35,1523.630
02:40,1512.840
02:45,1507.640
02:50,1505.200
02:55,1512.510
03:00,1492.780
03:05,1495.990
03:10,1496.390
03:15,1497.340
03:20,1498.800
03:25,1488.530
03:30,1489.940
03:35,1499.560
03:40,1486.200
03:45,1491.640
03:50,1501.970
03:55,1508.430
04:00,1506.230
04:05,1533.400
04:10,1532.580
04:15,1543.950
04:20,1548.700
04:25,1272.230
04:30,1422.500
04:35,1470.690
04:40,1547.680
04:45,1620.410
04:50,1642.090
04:55,1671.270
05:00,1696.440
05:05,1755.560
05:10,1807.500
05:15,1847.360
05:20,1891.420
05:25,1947.270
05:30,2015.360
05:35,2078.540
05:40,2141.460
05:45,2207.290
05:50,2204.000
05:55,2364.820
06:00,2404.980
06:05,2515.630
06:10,2650.850
06:15,2723.040
06:20,2834.840
06:25,2935.090
06:30,2975.950
06:35,3065.150
06:40,3162.740
06:45,3192.200
06:50,3259.120
06:55,3336.370
07:00,3349.500
07:05,3434.610
07:10,3509.120
07:15,3519.910
07:20,3603.060
07:25,3618.200
07:30,3665.020
07:35,3694.400
07:40,3690.320
07:45,3622.170
07:50,3745.020
07:55,3728.570
08:00,3798.690
08:05,3754.360
08:10,3770.320
08:15,3792.680
08:20,3820.470
08:25,3838.440
08:30,3846.110
08:35,3840.480
08:40,3832.240
08:45,3831.670
08:50,3858.670
08:55,3855.590
09:00,3860.650
09:05,3848.740
09:10,3838.060
09:15,3875.430
09:20,3927.600
09:25,3968.920
09:30,3991.590
09:35,4004.340
09:40,4030.310
09:45,4034.820
09:50,4052.580
09:55,4046.720
10:00,4048.190
10:05,4087.820
10:10,4045.610
10:15,4023.330
10:20,4061.620
10:25,4049.100
10:30,4068.730
10:35,4056.520
10:40,4009.470
10:45,4037.430
10:50,4050.020
10:55,3955.330
11:00,3986.820
11:05,3963.400
11:10,3814.550
11:15,3942.430
11:20,3904.710
11:25,3934.960
11:30,3885.050
11:35,3870.500
11:40,3855.340
11:45,3891.230
11:50,3831.870
11:55,3837.420
12:00,3827.190
12:05,3818.430
12:10,3732.520
12:15,3718.530
12:20,3658.120
12:25,3712.440
12:30,3679.390
12:35,3670.280
12:40,3633.550
12:45,3602.370
12:50,3567.480
12:55,3532.930
13:00,3455.110
13:05,3326.120
13:10,3251.660
13:15,3253.390
13:20,3219.000
13:25,3197.740
13:30,3187.640
13:35,3169.430
13:40,3177.920
13:45,3196.690
13:50,3201.730
13:55,3146.920
14:00,3176.200
14:05,3190.550
14:10,3171.280
14:15,3179.420
14:20,3202.470
14:25,3160.140
14:30,3163.080
14:35,3174.030
14:40,3152.500
14:45,3149.800
14:50,3135.190
14:55,3150.200
15:00,3148.250
15:05,3124.120
15:10,3096.930
15:15,3024.840
15:20,3081.510
15:25,3077.390
15:30,3067.450
15:35,3046.420
15:40,3027.450
15:45,3076.920
15:50,3065.520
15:55,3031.170
16:00,3026.240
16:05,3012.890
16:10,2994.920
16:15,3008.590
16:20,3026.710
16:25,3000.810
16:30,3013.900
16:35,3033.950
16:40,3029.510
16:45,3007.690
16:50,3026.130
16:55,3032.240
17:00,3033.600
17:05,3092.380
17:10,3085.270
17:15,3135.450
17:20,3114.600
17:25,3141.410
17:30,3126.470
17:35,3172.510
17:40,3179.750
17:45,3176.500
17:50,3235.940
17:55,3210.810
18:00,3211.170
18:05,3256.390
18:10,3256.420
18:15,3305.120
18:20,3311.200
18:25,3336.400
18:30,3355.580
18:35,3369.580
18:40,3344.110
18:45,3369.350
18:50,3387.250
18:55,3367.120
19:00,3363.590
19:05,3376.050
19:10,3329.610
19:15,3352.760
19:20,3372.240
19:25,3336.540
19:30,3305.190
19:35,3285.040
19:40,3305.910
19:45,3258.890
19:50,3232.480
19:55,3221.510
20:00,3186.950
20:05,3127.700
20:10,3114.350
20:15,3111.060
20:20,3082.420
20:25,3079.320
20:30,3034.020
20:35,3033.060
20:40,2983.210
20:45,2960.890
20:50,2939.520
20:55,2895.170
21:00,2871.720
21:05,2808.460
21:10,2804.500
21:15,2770.600
21:20,2793.110
21:25,2768.460
21:30,2729.460
21:35,2735.950
21:40,2690.900
21:45,2680.400
21:50,2662.300
21:55,2650.740
22:00,2619.080
22:05,2588.870
22:10,2598.010
22:15,2534.510
22:20,2540.280
22:25,2494.260
22:30,2452.120
22:35,2441.730
22:40,2399.490
22:45,2370.740
22:50,2351.680
22:55,2299.420
23:00,2288.670
23:05,2228.230
23:10,2183.530
23:15,2151.780
23:20,2139.330
23:25,2115.570
23:30,2095.800
23:35,2040.820
23:40,2010.090
23:45,1972.320
23:50,1965.390
23:55,1940.560
