Date,Hour,Load
09-01-2018,8,3779.75
09-01-2018,9,3888.81
09-01-2018,10,4124.40
09-01-2018,11,4063.59
09-01-2018,12,3847.15
09-01-2018,13,3399.93
09-01-2018,14,3167.48
09-01-2018,15,3097.56
09-01-2018,16,3068.71
09-01-2018,17,3092.39
09-01-2018,18,3377.60
09-01-2018,19,3517.32
09-01-2018,20,3332.11
09-01-2018,21,3059.54
09-01-2018,22,2825.28
09-01-2018,23,2396.32
10-01-2018,0,1961.07
10-01-2018,1,1721.04
10-01-2018,2,1608.61
10-01-2018,3,1544.52
10-01-2018,4,1546.40
10-01-2018,5,1719.26
10-01-2018,6,2272.42
10-01-2018,7,3175.32
10-01-2018,8,3816.41
10-01-2018,9,3958.62
10-01-2018,10,4214.11
10-01-2018,11,4099.03
10-01-2018,12,3871.60
10-01-2018,13,3448.68
10-01-2018,14,3214.62
10-01-2018,15,3134.25
10-01-2018,16,3045.61
10-01-2018,17,3122.45
10-01-2018,18,3431.22
10-01-2018,19,3468.49
10-01-2018,20,3325.36
10-01-2018,21,3043.45
10-01-2018,22,2809.12
10-01-2018,23,2368.59
11-01-2018,0,1976.43
11-01-2018,1,1728.27
11-01-2018,2,1603.94
11-01-2018,3,1539.64
11-01-2018,4,1541.57
11-01-2018,5,1705.42
11-01-2018,6,2297.40
11-01-2018,7,3158.18
11-01-2018,8,3717.51
11-01-2018,9,3862.87
11-01-2018,10,4116.97
11-01-2018,11,3937.21
11-01-2018,12,3755.93
11-01-2018,13,3361.15
11-01-2018,14,3115.20
11-01-2018,15,3116.25
11-01-2018,16,3055.17
11-01-2018,17,3074.76
11-01-2018,18,3429.59
11-01-2018,19,3501.41
11-01-2018,20,3307.90
11-01-2018,21,3046.08
11-01-2018,22,2768.56
11-01-2018,23,2389.20
12-01-2018,0,1970.83
12-01-2018,1,1731.85
12-01-2018,2,1603.93
12-01-2018,3,1541.00
12-01-2018,4,1557.57
12-01-2018,5,1737.39
12-01-2018,6,2344.45
12-01-2018,7,3220.60
12-01-2018,8,3880.35
12-01-2018,9,3945.41
12-01-2018,10,4201.77
12-01-2018,11,4116.28
12-01-2018,12,3893.20
12-01-2018,13,3515.54
12-01-2018,14,3188.99
12-01-2018,15,3096.92
12-01-2018,16,3046.53
12-01-2018,17,3135.17
12-01-2018,18,3411.91
12-01-2018,19,3467.25
12-01-2018,20,3307.13
12-01-2018,21,2988.04
12-01-2018,22,2752.62
12-01-2018,23,2404.63
13-01-2018,0,1982.42
13-01-2018,1,1732.74
13-01-2018,2,1608.10
13-01-2018,3,1539.51
13-01-2018,4,1553.40
13-01-2018,5,1682.24
13-01-2018,6,2134.53
13-01-2018,7,2756.70
13-01-2018,8,3465.19
13-01-2018,9,3693.82
13-01-2018,10,3926.12
13-01-2018,11,3826.38
13-01-2018,12,3429.89
13-01-2018,13,3114.48
13-01-2018,14,2831.17
13-01-2018,15,2756.17
13-01-2018,16,2671.13
13-01-2018,17,2734.04
13-01-2018,18,3038.37
13-01-2018,19,3155.60
13-01-2018,20,2996.32
13-01-2018,21,2653.11
13-01-2018,22,2439.51
13-01-2018,23,2147.17
14-01-2018,0,1808.53
14-01-2018,1,1586.72
14-01-2018,2,1460.08
14-01-2018,3,1391.35
14-01-2018,4,1403.28
14-01-2018,5,1529.25
14-01-2018,6,1907.34
14-01-2018,7,2488.60
14-01-2018,8,3239.42
14-01-2018,9,3526.65
14-01-2018,10,3931.96
14-01-2018,11,3861.13
14-01-2018,12,3619.44
14-01-2018,13,3178.13
14-01-2018,14,2812.89
14-01-2018,15,2687.58
14-01-2018,16,2608.35
14-01-2018,17,2684.20
14-01-2018,18,2961.08
14-01-2018,19,3054.86
14-01-2018,20,2985.00
14-01-2018,21,2702.28
14-01-2018,22,2558.79
14-01-2018,23,2314.80
15-01-2018,0,1887.40
15-01-2018,1,1644.69
15-01-2018,2,1562.34
15-01-2018,3,1524.47
15-01-2018,4,1517.01
15-01-2018,5,1646.72
15-01-2018,6,2191.16
15-01-2018,7,2906.11
15-01-2018,8,3190.56
15-01-2018,9,3743.46
15-01-2018,10,3969.75
15-01-2018,11,3858.32
15-01-2018,12,3560.67
15-01-2018,13,3377.66
15-01-2018,14,3007.29
15-01-2018,15,2985.44
15-01-2018,16,2889.16
15-01-2018,17,2923.21
15-01-2018,18,3192.23
15-01-2018,19,3235.68
15-01-2018,20,3178.68
15-01-2018,21,2883.15
15-01-2018,22,2646.54
15-01-2018,23,2239.73
16-01-2018,0,1855.27
16-01-2018,1,1638.47
16-01-2018,2,1530.78
16-01-2018,3,1482.87
16-01-2018,4,1505.92
16-01-2018,5,1708.61
16-01-2018,6,2459.72
16-01-2018,7,3394.84
16-01-2018,8,3756.82
16-01-2018,9,3738.57
16-01-2018,10,3838.55
16-01-2018,11,3729.30
16-01-2018,12,3484.43
16-01-2018,13,3184.11
16-01-2018,14,2950.15
16-01-2018,15,2953.41
16-01-2018,16,2880.51
16-01-2018,17,2948.04
16-01-2018,18,3255.59
16-01-2018,19,3356.90
16-01-2018,20,3191.66
16-01-2018,21,2903.65
16-01-2018,22,2699.81
16-01-2018,23,2284.49
17-01-2018,0,1905.25
17-01-2018,1,1693.75
17-01-2018,2,1603.82
17-01-2018,3,1558.76
17-01-2018,4,1583.64
17-01-2018,5,1798.54
17-01-2018,6,2533.46
17-01-2018,7,3433.33
17-01-2018,8,3783.83
17-01-2018,9,3795.45
17-01-2018,10,4001.68
17-01-2018,11,3902.75
17-01-2018,12,3690.15
17-01-2018,13,3291.94
17-01-2018,14,3074.78
17-01-2018,15,3060.21
17-01-2018,16,2971.80
17-01-2018,17,3009.37
17-01-2018,18,3291.81
17-01-2018,19,3412.33
17-01-2018,20,3278.52
17-01-2018,21,2953.49
17-01-2018,22,2692.87
17-01-2018,23,2281.14
18-01-2018,0,1890.92
18-01-2018,1,1669.81
18-01-2018,2,1570.68
18-01-2018,3,1511.45
18-01-2018,4,1536.70
18-01-2018,5,1718.92
18-01-2018,6,2431.95
18-01-2018,7,3311.25
18-01-2018,8,3695.75
18-01-2018,9,3736.56
18-01-2018,10,3927.05
18-01-2018,11,3762.46
18-01-2018,12,3535.37
18-01-2018,13,3200.20
18-01-2018,14,3039.71
18-01-2018,15,3001.74
18-01-2018,16,2970.80
18-01-2018,17,3021.22
18-01-2018,18,3297.64
18-01-2018,19,3420.70
18-01-2018,20,3267.51
18-01-2018,21,2915.77
18-01-2018,22,2650.67
18-01-2018,23,2264.12
19-01-2018,0,2083.62
19-01-2018,1,2004.46
19-01-2018,2,1984.20
19-01-2018,3,1961.04
19-01-2018,4,1955.62
19-01-2018,5,2036.46
19-01-2018,6,2320.38
19-01-2018,7,2712.83
19-01-2018,8,2805.64
19-01-2018,9,2816.51
19-01-2018,10,3651.63
19-01-2018,11,3958.43
19-01-2018,12,3746.75
19-01-2018,13,3150.91
19-01-2018,14,3079.33
19-01-2018,15,3076.64
19-01-2018,16,3019.91
19-01-2018,17,3006.78
19-01-2018,18,3331.25
19-01-2018,19,3383.99
19-01-2018,20,3231.31
19-01-2018,21,2858.95
19-01-2018,22,2652.58
19-01-2018,23,2292.02
20-01-2018,0,1892.08
20-01-2018,1,1669.86
20-01-2018,2,1579.33
20-01-2018,3,1512.90
20-01-2018,4,1529.20
20-01-2018,5,1690.79
20-01-2018,6,2284.84
20-01-2018,7,3016.46
20-01-2018,8,3516.53
20-01-2018,9,3589.66
20-01-2018,10,3770.52
20-01-2018,11,3680.88
20-01-2018,12,3441.67
20-01-2018,13,3102.13
20-01-2018,14,2850.33
20-01-2018,15,2801.10
20-01-2018,16,2750.70
20-01-2018,17,2778.97
20-01-2018,18,3088.24
20-01-2018,19,3204.98
20-01-2018,20,3056.01
20-01-2018,21,2749.67
20-01-2018,22,2565.67
20-01-2018,23,2191.42
21-01-2018,0,1848.97
21-01-2018,1,1624.88
21-01-2018,2,1513.11
21-01-2018,3,1455.57
21-01-2018,4,1458.80
21-01-2018,5,1580.33
21-01-2018,6,1924.29
21-01-2018,7,2447.82
21-01-2018,8,3206.78
21-01-2018,9,3530.40
21-01-2018,10,3853.35
21-01-2018,11,3835.82
21-01-2018,12,3671.51
21-01-2018,13,3252.38
21-01-2018,14,2903.17
21-01-2018,15,2703.21
21-01-2018,16,2589.78
21-01-2018,17,2598.69
21-01-2018,18,2897.34
21-01-2018,19,3068.95
21-01-2018,20,2925.69
21-01-2018,21,2689.29
21-01-2018,22,2505.64
21-01-2018,23,2140.51
22-01-2018,0,1787.21
22-01-2018,1,1578.21
22-01-2018,2,1461.64
22-01-2018,3,1427.55
22-01-2018,4,1441.32
22-01-2018,5,1644.29
22-01-2018,6,2412.38
22-01-2018,7,3279.51
22-01-2018,8,3595.34
22-01-2018,9,3695.91
22-01-2018,10,3856.69
22-01-2018,11,3739.03
22-01-2018,12,3504.27
22-01-2018,13,3106.82
22-01-2018,14,2953.01
22-01-2018,15,2905.57
22-01-2018,16,2842.24
22-01-2018,17,2902.53
22-01-2018,18,3159.06
22-01-2018,19,3291.57
22-01-2018,20,3156.52
22-01-2018,21,2856.38
22-01-2018,22,2596.25
22-01-2018,23,2217.66
23-01-2018,0,1872.74
23-01-2018,1,1664.23
23-01-2018,2,1548.47
23-01-2018,3,1514.33
23-01-2018,4,1511.46
23-01-2018,5,1706.98
23-01-2018,6,2404.09
23-01-2018,7,3259.28
23-01-2018,8,3534.50
23-01-2018,9,3536.55
23-01-2018,10,3695.73
23-01-2018,11,3735.41
23-01-2018,12,3371.74
23-01-2018,13,3079.43
23-01-2018,14,2946.13
23-01-2018,15,2972.48
23-01-2018,16,2943.62
23-01-2018,17,2998.12
23-01-2018,18,3173.82
23-01-2018,19,3340.05
23-01-2018,20,3210.52
23-01-2018,21,2941.97
23-01-2018,22,2697.29
23-01-2018,23,2251.70
24-01-2018,0,1862.28
24-01-2018,1,1654.53
24-01-2018,2,1542.94
24-01-2018,3,1499.50
24-01-2018,4,1519.47
24-01-2018,5,1708.27
24-01-2018,6,2465.24
24-01-2018,7,3401.07
24-01-2018,8,3777.57
24-01-2018,9,3823.45
24-01-2018,10,4043.96
24-01-2018,11,4006.69
24-01-2018,12,3748.76
24-01-2018,13,3345.77
24-01-2018,14,3217.72
24-01-2018,15,3143.93
24-01-2018,16,3091.17
24-01-2018,17,3135.12
24-01-2018,18,3337.30
24-01-2018,19,3488.97
24-01-2018,20,3310.77
24-01-2018,21,3042.59
24-01-2018,22,2787.26
24-01-2018,23,2327.39
25-01-2018,0,1934.39
25-01-2018,1,1696.74
25-01-2018,2,1591.31
25-01-2018,3,1536.45
25-01-2018,4,1558.26
25-01-2018,5,1727.39
25-01-2018,6,2456.83
25-01-2018,7,3313.17
25-01-2018,8,3694.85
25-01-2018,9,3786.17
25-01-2018,10,3843.13
25-01-2018,11,3980.34
25-01-2018,12,3709.38
25-01-2018,13,3373.06
25-01-2018,14,3116.57
25-01-2018,15,3067.59
25-01-2018,16,3073.93
25-01-2018,17,3042.77
25-01-2018,18,3322.18
25-01-2018,19,3418.12
25-01-2018,20,3294.29
25-01-2018,21,2986.83
25-01-2018,22,2742.62
25-01-2018,23,2385.20
26-01-2018,0,1994.27
26-01-2018,1,1752.94
26-01-2018,2,1643.63
26-01-2018,3,1565.11
26-01-2018,4,1577.90
26-01-2018,5,1696.88
26-01-2018,6,2012.34
26-01-2018,7,2437.87
26-01-2018,8,3082.26
26-01-2018,9,3373.91
26-01-2018,10,3541.83
26-01-2018,11,3445.04
26-01-2018,12,3376.14
26-01-2018,13,3070.68
26-01-2018,14,2572.01
26-01-2018,15,2246.09
26-01-2018,16,2086.90
26-01-2018,17,2108.47
26-01-2018,18,2454.74
26-01-2018,19,2650.08
26-01-2018,20,2637.90
26-01-2018,21,2572.57
26-01-2018,22,2386.34
26-01-2018,23,2016.20
27-01-2018,0,1666.45
27-01-2018,1,1465.71
27-01-2018,2,1373.19
27-01-2018,3,1324.52
27-01-2018,4,1337.02
27-01-2018,5,1482.52
27-01-2018,6,1962.00
27-01-2018,7,2629.33
27-01-2018,8,3298.22
27-01-2018,9,3531.97
27-01-2018,10,3887.03
27-01-2018,11,3862.69
27-01-2018,12,3624.84
27-01-2018,13,3223.88
27-01-2018,14,2962.88
27-01-2018,15,2833.86
27-01-2018,16,2754.39
27-01-2018,17,2843.55
27-01-2018,18,3146.39
27-01-2018,19,3264.05
27-01-2018,20,3170.25
27-01-2018,21,2894.55
27-01-2018,22,2660.38
27-01-2018,23,2273.43
28-01-2018,0,1904.17
28-01-2018,1,1667.27
28-01-2018,2,1545.67
28-01-2018,3,1480.74
28-01-2018,4,1499.43
28-01-2018,5,1598.12
28-01-2018,6,1919.72
28-01-2018,7,2429.00
28-01-2018,8,3159.03
28-01-2018,9,3552.14
28-01-2018,10,3935.20
28-01-2018,11,3984.68
28-01-2018,12,3808.77
28-01-2018,13,3378.93
28-01-2018,14,3012.25
28-01-2018,15,2780.16
28-01-2018,16,2627.08
28-01-2018,17,2672.29
28-01-2018,18,2935.38
28-01-2018,19,3145.07
28-01-2018,20,3056.25
28-01-2018,21,2805.85
28-01-2018,22,2633.70
28-01-2018,23,2230.52
29-01-2018,0,1867.95
29-01-2018,1,1620.90
29-01-2018,2,1522.31
29-01-2018,3,1479.50
29-01-2018,4,1493.77
29-01-2018,5,1676.73
29-01-2018,6,2389.32
29-01-2018,7,3268.71
29-01-2018,8,3684.15
29-01-2018,9,3778.72
29-01-2018,10,4029.89
29-01-2018,11,3907.42
29-01-2018,12,3651.84
29-01-2018,13,3357.24
29-01-2018,14,3140.62
29-01-2018,15,3094.21
29-01-2018,16,2958.39
29-01-2018,17,2904.91
29-01-2018,18,3152.57
29-01-2018,19,3303.57
29-01-2018,20,3233.96
29-01-2018,21,3014.98
29-01-2018,22,2692.61
29-01-2018,23,2306.28
30-01-2018,0,1940.07
30-01-2018,1,1708.30
30-01-2018,2,1609.33
30-01-2018,3,1553.54
30-01-2018,4,1570.82
30-01-2018,5,1739.23
30-01-2018,6,2418.27
30-01-2018,7,3266.14
30-01-2018,8,3683.59
30-01-2018,9,3723.95
30-01-2018,10,3810.76
30-01-2018,11,3666.78
30-01-2018,12,3548.03
30-01-2018,13,3205.39
30-01-2018,14,2981.91
30-01-2018,15,2932.69
30-01-2018,16,2871.65
30-01-2018,17,2950.50
30-01-2018,18,3215.52
30-01-2018,19,3362.28
30-01-2018,20,3216.51
30-01-2018,21,2902.39
30-01-2018,22,2647.06
30-01-2018,23,2249.84
31-01-2018,0,1861.46
31-01-2018,1,1647.78
31-01-2018,2,1536.49
31-01-2018,3,1482.90
31-01-2018,4,1491.17
31-01-2018,5,1682.13
31-01-2018,6,2388.34
31-01-2018,7,3302.32
31-01-2018,8,3703.06
31-01-2018,9,3766.66
31-01-2018,10,3967.90
31-01-2018,11,3876.25
31-01-2018,12,3639.14
31-01-2018,13,3289.53
31-01-2018,14,3015.39
31-01-2018,15,2869.77
31-01-2018,16,2906.67
31-01-2018,17,2925.31
31-01-2018,18,3123.06
31-01-2018,19,3245.98
31-01-2018,20,3145.24
31-01-2018,21,3100.45
31-01-2018,22,2709.80
31-01-2018,23,2253.24
01-02-2018,0,1883.28
01-02-2018,1,1664.91
01-02-2018,2,1572.50
01-02-2018,3,1474.99
01-02-2018,4,1486.03
01-02-2018,5,1651.29
01-02-2018,6,2374.22
01-02-2018,7,3199.64
01-02-2018,8,3652.64
01-02-2018,9,3616.11
01-02-2018,10,3706.96
01-02-2018,11,3592.44
01-02-2018,12,3417.88
01-02-2018,13,3101.41
01-02-2018,14,2926.95
01-02-2018,15,2946.58
01-02-2018,16,2873.48
01-02-2018,17,2911.13
01-02-2018,18,3122.48
01-02-2018,19,3337.49
01-02-2018,20,3173.66
01-02-2018,21,2787.18
01-02-2018,22,2566.85
01-02-2018,23,2207.58
02-02-2018,0,1853.95
02-02-2018,1,1619.73
02-02-2018,2,1525.35
02-02-2018,3,1458.05
02-02-2018,4,1482.14
02-02-2018,5,1671.20
02-02-2018,6,2404.06
02-02-2018,7,3252.77
02-02-2018,8,3574.73
02-02-2018,9,3666.08
02-02-2018,10,3877.64
02-02-2018,11,3707.24
02-02-2018,12,3479.03
02-02-2018,13,3157.34
02-02-2018,14,2901.74
02-02-2018,15,2896.54
02-02-2018,16,2791.70
02-02-2018,17,2855.63
02-02-2018,18,3043.00
02-02-2018,19,3216.56
02-02-2018,20,3043.73
02-02-2018,21,2717.39
02-02-2018,22,2490.17
02-02-2018,23,2130.51
03-02-2018,0,1814.43
03-02-2018,1,1559.31
03-02-2018,2,1515.27
03-02-2018,3,1463.97
03-02-2018,4,1467.69
03-02-2018,5,1625.01
03-02-2018,6,2174.58
03-02-2018,7,2892.98
03-02-2018,8,3363.90
03-02-2018,9,3394.18
03-02-2018,10,3591.91
03-02-2018,11,3467.77
03-02-2018,12,3273.52
