Date,Hour,Min,Load
05-01-2018,4,30,1621.40
05-01-2018,5,0,1701.83
05-01-2018,5,30,1903.87
05-01-2018,6,0,2190.11
05-01-2018,6,30,2588.29
05-01-2018,7,0,2900.41
05-01-2018,7,30,3351.80
05-01-2018,8,0,3719.77
05-01-2018,8,30,3921.47
05-01-2018,9,0,4044.85
05-01-2018,9,30,4210.65
05-01-2018,10,0,4420.98
05-01-2018,10,30,4422.29
05-01-2018,11,0,4354.05
05-01-2018,11,30,4184.17
05-01-2018,12,0,4210.38
05-01-2018,12,30,4006.12
05-01-2018,13,0,3705.93
05-01-2018,13,30,3395.17
05-01-2018,14,0,3391.41
05-01-2018,14,30,3392.95
05-01-2018,15,0,3327.54
05-01-2018,15,30,3276.29
05-01-2018,16,0,3279.91
05-01-2018,16,30,3272.15
05-01-2018,17,0,3314.97
05-01-2018,17,30,3455.30
05-01-2018,18,0,3625.05
05-01-2018,18,30,3598.01
05-01-2018,19,0,3585.62
05-01-2018,19,30,3578.37
05-01-2018,20,0,3482.05
05-01-2018,20,30,3305.45
05-01-2018,21,0,3141.63
05-01-2018,21,30,3001.41
05-01-2018,22,0,2900.67
05-01-2018,22,30,2671.45
05-01-2018,23,0,2468.04
05-01-2018,23,30,2235.36
06-01-2018,0,0,2044.62
06-01-2018,0,30,1884.37
06-01-2018,1,0,1770.70
06-01-2018,1,30,1699.76
06-01-2018,2,0,1652.06
06-01-2018,2,30,1624.22
06-01-2018,3,0,1586.86
06-01-2018,3,30,1575.08
06-01-2018,4,0,1585.72
06-01-2018,4,30,1622.64
06-01-2018,5,0,1720.75
06-01-2018,5,30,1895.72
06-01-2018,6,0,2142.76
06-01-2018,6,30,2459.70
06-01-2018,7,0,2758.20
06-01-2018,7,30,3134.27
06-01-2018,8,0,3466.27
06-01-2018,8,30,3656.72
06-01-2018,9,0,3455.11
06-01-2018,9,30,3902.88
06-01-2018,10,0,4106.30
06-01-2018,10,30,4125.84
06-01-2018,11,0,4044.03
06-01-2018,11,30,3961.59
06-01-2018,12,0,3780.97
06-01-2018,12,30,3654.09
06-01-2018,13,0,3413.19
06-01-2018,13,30,3167.33
06-01-2018,14,0,3106.64
06-01-2018,14,30,3086.43
06-01-2018,15,0,3003.46
06-01-2018,15,30,2937.52
06-01-2018,16,0,2934.67
06-01-2018,16,30,2936.47
06-01-2018,17,0,2995.29
06-01-2018,17,30,3107.94
06-01-2018,18,0,3305.26
06-01-2018,18,30,3400.31
06-01-2018,19,0,3391.53
06-01-2018,19,30,3363.97
06-01-2018,20,0,3286.74
06-01-2018,20,30,3139.32
06-01-2018,21,0,3019.76
06-01-2018,21,30,2880.55
06-01-2018,22,0,2749.08
06-01-2018,22,30,2556.95
06-01-2018,23,0,2345.05
06-01-2018,23,30,2150.47
07-01-2018,0,0,1936.81
07-01-2018,0,30,1798.12
07-01-2018,1,0,1689.17
07-01-2018,1,30,1606.01
07-01-2018,2,0,1549.74
07-01-2018,2,30,1525.72
07-01-2018,3,0,1496.77
07-01-2018,3,30,1479.21
07-01-2018,4,0,1489.26
07-01-2018,4,30,1536.53
07-01-2018,5,0,1606.62
07-01-2018,5,30,1769.12
07-01-2018,6,0,1974.52
07-01-2018,6,30,2209.14
07-01-2018,7,0,2437.11
07-01-2018,7,30,2829.97
07-01-2018,8,0,3202.45
07-01-2018,8,30,3381.85
07-01-2018,9,0,3549.07
07-01-2018,9,30,3815.95
07-01-2018,10,0,3948.49
07-01-2018,10,30,3990.95
07-01-2018,11,0,4016.47
07-01-2018,11,30,3913.62
07-01-2018,12,0,3854.98
07-01-2018,12,30,3682.73
07-01-2018,13,0,3434.18
07-01-2018,13,30,3182.24
07-01-2018,14,0,3093.86
07-01-2018,14,30,2992.60
07-01-2018,15,0,2862.56
07-01-2018,15,30,2759.55
07-01-2018,16,0,2743.47
07-01-2018,16,30,2732.67
07-01-2018,17,0,2771.41
07-01-2018,17,30,2878.66
07-01-2018,18,0,3109.54
07-01-2018,18,30,3221.30
07-01-2018,19,0,3197.69
07-01-2018,19,30,3217.17
07-01-2018,20,0,3144.29
07-01-2018,20,30,3025.77
07-01-2018,21,0,2896.15
07-01-2018,21,30,2888.73
07-01-2018,22,0,2711.68
07-01-2018,22,30,2570.93
07-01-2018,23,0,2473.76
07-01-2018,23,30,2115.96
08-01-2018,0,0,1986.53
08-01-2018,0,30,1775.65
08-01-2018,1,0,1704.62
08-01-2018,1,30,1642.41
08-01-2018,2,0,1453.97
08-01-2018,2,30,1505.72
08-01-2018,3,0,1476.61
08-01-2018,3,30,1465.34
08-01-2018,4,0,1483.95
08-01-2018,4,30,1531.07
08-01-2018,5,0,1630.01
08-01-2018,5,30,1854.34
08-01-2018,6,0,2206.29
08-01-2018,6,30,2622.81
08-01-2018,7,0,2994.24
08-01-2018,7,30,3385.18
08-01-2018,8,0,3667.09
08-01-2018,8,30,3801.90
08-01-2018,9,0,3896.77
08-01-2018,9,30,4140.39
08-01-2018,10,0,4181.12
08-01-2018,10,30,4141.44
08-01-2018,11,0,4037.63
08-01-2018,11,30,3912.98
08-01-2018,12,0,3797.19
08-01-2018,12,30,3675.60
08-01-2018,13,0,3421.60
08-01-2018,13,30,3181.29
08-01-2018,14,0,3206.29
08-01-2018,14,30,3164.93
08-01-2018,15,0,3111.28
08-01-2018,15,30,3052.20
08-01-2018,16,0,3060.52
08-01-2018,16,30,3066.93
08-01-2018,17,0,3102.14
08-01-2018,17,30,3225.45
08-01-2018,18,0,3450.03
08-01-2018,18,30,3485.66
08-01-2018,19,0,3489.93
08-01-2018,19,30,3421.60
08-01-2018,20,0,3401.16
08-01-2018,20,30,3298.43
08-01-2018,21,0,3088.57
08-01-2018,21,30,2972.35
08-01-2018,22,0,2842.71
08-01-2018,22,30,2612.94
08-01-2018,23,0,2403.45
08-01-2018,23,30,2194.27
09-01-2018,0,0,1978.58
09-01-2018,0,30,1837.50
09-01-2018,1,0,1731.63
09-01-2018,1,30,1648.23
09-01-2018,2,0,1599.42
09-01-2018,2,30,1562.89
09-01-2018,3,0,1537.29
09-01-2018,3,30,1539.00
09-01-2018,4,0,1559.99
09-01-2018,4,30,1609.48
09-01-2018,5,0,1712.07
09-01-2018,5,30,1941.02
09-01-2018,6,0,2265.55
09-01-2018,6,30,2673.14
09-01-2018,7,0,3058.40
09-01-2018,7,30,3489.02
09-01-2018,8,0,3779.75
09-01-2018,8,30,3952.83
09-01-2018,9,0,3888.81
09-01-2018,9,30,4066.33
09-01-2018,10,0,4124.40
09-01-2018,10,30,4158.64
09-01-2018,11,0,4063.59
09-01-2018,11,30,3940.13
09-01-2018,12,0,3847.15
09-01-2018,12,30,3661.10
09-01-2018,13,0,3399.93
09-01-2018,13,30,3129.38
09-01-2018,14,0,3167.48
09-01-2018,14,30,3143.93
09-01-2018,15,0,3097.56
09-01-2018,15,30,3089.24
09-01-2018,16,0,3068.71
09-01-2018,16,30,3048.91
09-01-2018,17,0,3092.39
09-01-2018,17,30,3226.60
09-01-2018,18,0,3377.60
09-01-2018,18,30,3583.28
09-01-2018,19,0,3517.32
09-01-2018,19,30,3393.25
09-01-2018,20,0,3332.11
09-01-2018,20,30,3223.73
09-01-2018,21,0,3059.54
09-01-2018,21,30,2927.52
09-01-2018,22,0,2825.28
09-01-2018,22,30,2628.17
09-01-2018,23,0,2396.32
09-01-2018,23,30,2181.64
10-01-2018,0,0,1961.07
10-01-2018,0,30,1826.06
10-01-2018,1,0,1721.04
10-01-2018,1,30,1646.81
10-01-2018,2,0,1608.61
10-01-2018,2,30,1569.39
10-01-2018,3,0,1544.52
10-01-2018,3,30,1533.58
10-01-2018,4,0,1546.40
10-01-2018,4,30,1608.67
10-01-2018,5,0,1719.26
10-01-2018,5,30,1940.59
10-01-2018,6,0,2272.42
10-01-2018,6,30,2757.34
10-01-2018,7,0,3175.32
