time,value
00:00,1856.400
00:05,1813.990
00:10,1798.330
00:15,1763.250
00:20,1741.750
00:25,1723.200
00:30,1710.580
00:35,1676.090
00:40,1661.380
00:45,1658.060
00:50,1644.840
00:55,1608.360
01:00,1607.340
01:05,1583.330
01:10,1562.020
01:15,1557.930
01:20,1548.580
01:25,1531.520
01:30,1518.140
01:35,1509.750
01:40,1502.190
01:45,1503.110
01:50,1494.060
01:55,1483.220
02:00,1475.580
02:05,1477.190
02:10,1478.590
02:15,1466.790
02:20,1467.150
02:25,1453.270
02:30,1449.260
02:35,1454.610
02:40,1441.660
02:45,1442.000
02:50,1449.820
02:55,1442.690
03:00,1434.290
03:05,1415.840
03:10,1429.980
03:15,1429.220
03:20,1429.600
03:25,1416.360
03:30,1413.990
03:35,1412.890
03:40,1428.640
03:45,1416.960
03:50,1421.120
03:55,1416.020
04:00,1411.060
04:05,1429.670
04:10,1446.300
04:15,1460.510
04:20,1475.880
04:25,1497.590
04:30,1512.180
04:35,1537.400
04:40,1566.020
04:45,1563.320
04:50,1583.610
04:55,1612.970
05:00,1634.480
05:05,1697.460
05:10,1754.640
05:15,1796.750
05:20,1846.290
05:25,1896.150
05:30,1965.830
05:35,2040.730
05:40,2098.370
05:45,2200.900
05:50,2260.820
05:55,2327.770
06:00,2426.290
06:05,2559.000
06:10,2660.790
06:15,2721.240
06:20,2863.870
06:25,2981.530
06:30,3062.420
06:35,3127.280
06:40,3205.660
06:45,3284.620
06:50,3328.420
06:55,3372.930
07:00,3389.200
07:05,3465.160
07:10,3540.100
07:15,3538.320
07:20,3588.160
07:25,3608.470
07:30,3618.880
07:35,3680.480
07:40,3652.940
07:45,3669.090
07:50,3658.860
07:55,3671.290
08:00,3697.870
08:05,3753.170
08:10,3726.510
08:15,3782.600
08:20,3809.540
08:25,3798.680
08:30,3806.510
08:35,3826.210
08:40,3783.130
08:45,3812.070
08:50,3797.770
08:55,3826.340
09:00,3800.490
09:05,3751.390
09:10,3825.270
09:15,3829.640
09:20,3905.330
09:25,3890.890
09:30,3923.750
09:35,3978.210
09:40,3943.170
09:45,3985.740
09:50,3977.890
09:55,4022.700
10:00,4027.100
10:05,3988.210
10:10,4032.830
10:15,4000.420
10:20,3987.920
10:25,4019.650
10:30,4019.820
10:35,4012.980
10:40,4004.960
10:45,4016.120
10:50,4002.150
10:55,4032.460
11:00,4018.720
11:05,4011.730
11:10,3975.090
11:15,3992.660
11:20,3964.800
11:25,3959.080
11:30,3957.260
11:35,3910.410
11:40,3900.940
11:45,3912.170
11:50,3899.040
11:55,3889.970
12:00,3835.730
12:05,3869.020
12:10,3765.560
12:15,3754.910
12:20,3717.640
12:25,3729.810
12:30,3695.930
12:35,3707.970
12:40,3662.060
12:45,3658.960
12:50,3647.980
12:55,3588.350
13:00,3513.390
13:05,3456.760
13:10,3408.980
13:15,3426.370
13:20,3379.480
13:25,3386.330
13:30,3344.930
13:35,3362.180
13:40,3385.920
13:45,3407.290
13:50,3451.630
13:55,3434.910
14:00,3417.130
14:05,3385.660
14:10,3429.040
14:15,3390.240
14:20,3419.890
14:25,3413.480
14:30,3424.930
14:35,3425.150
14:40,3382.260
14:45,3382.030
14:50,3375.550
14:55,3379.250
15:00,3382.550
15:05,3375.560
15:10,3342.850
15:15,3344.680
15:20,3343.390
15:25,3322.840
15:30,3289.750
15:35,3329.270
15:40,3264.650
15:45,3267.980
15:50,3284.870
15:55,3277.130
16:00,3274.840
16:05,3240.720
16:10,3234.620
16:15,3233.890
16:20,3256.600
16:25,3246.560
16:30,3251.800
16:35,3265.570
16:40,3250.360
16:45,3240.240
16:50,3264.510
16:55,3258.500
17:00,3302.350
17:05,3333.840
17:10,3352.120
17:15,3412.030
17:20,3390.360
17:25,3435.670
17:30,3409.770
17:35,3529.740
17:40,3492.250
17:45,3512.740
17:50,3513.770
17:55,3529.540
18:00,3553.060
18:05,3541.710
18:10,3571.840
18:15,3520.300
18:20,3570.280
18:25,3545.590
18:30,3563.450
18:35,3540.150
18:40,3554.290
18:45,3431.670
18:50,3461.810
18:55,3489.140
19:00,3471.160
19:05,3441.500
19:10,3411.850
19:15,3409.500
19:20,3389.140
19:25,3391.710
19:30,3345.050
19:35,3349.150
19:40,3353.120
19:45,3367.220
19:50,3353.020
19:55,3314.350
20:00,3268.090
20:05,3252.250
20:10,3209.890
20:15,3191.570
20:20,3186.900
20:25,3134.850
20:30,3156.190
20:35,3067.450
20:40,3086.520
20:45,3088.080
20:50,3028.000
20:55,3023.800
21:00,2971.800
21:05,2947.900
21:10,2906.560
21:15,2895.700
21:20,2889.750
21:25,2905.340
21:30,2903.870
21:35,2888.120
21:40,2811.890
21:45,2805.700
21:50,2806.500
21:55,2777.320
22:00,2720.520
22:05,2636.610
22:10,2676.900
22:15,2677.780
22:20,2606.840
22:25,2601.180
22:30,2549.430
22:35,2528.990
22:40,2483.310
22:45,2460.740
22:50,2449.650
22:55,2406.730
23:00,2368.170
23:05,2305.580
23:10,2271.460
23:15,2204.110
23:20,2159.260
23:25,2102.200
23:30,2054.720
23:35,2047.650
23:40,2009.430
23:45,1973.440
23:50,1950.230
23:55,1892.910
