time ,value,,,,,
18:55,4498.48,,,,,
19:00,4515.94,,,,,
19:05,4500.08,,,,,
19:10,4482.83,,,,,
19:15,4502.24,,,,,
19:20,4505.34,,,,,
19:25,4534.78,,,,,
19:30,4562.74,,,,,
19:35,4515.13,,,,,
19:40,4529.65,,,,,
19:45,4547.9,,,,,
19:50,4556.21,,,,,
19:55,4520.9,,,,,
20:00,4570.4,,,,,
20:05,4500.98,,,,,
20:10,4468.02,,,,,
20:15,4451.2,,,,,
20:20,4477.6,,,,,
20:25,4467.63,,,,,
20:30,4411.42,,,,,
20:35,4370.66,,,,,
20:40,4361.13,,,,,
20:45,4325.79,,,,,
20:50,4315.19,,,,,
20:55,4300,,,,,
21:00,4279.03,,,,,
21:05,4282.75,,,,,
21:10,4309.47,,,,,
21:15,4302.71,,,,,
21:20,4335.28,,,,,
21:25,4378.59,,,,,
21:30,4401.55,,,,,
21:35,4389.01,,,,,
21:40,4420.87,,,,,
21:45,4438.15,,,,,
21:50,4435.2,,,,,
21:55,4425.06,,,,,
22:00,4431.76,,,,,
22:05,4435.79,,,,,
22:10,4443.57,,,,,
22:15,4495.14,,,,,
22:20,4480.34,,,,,
22:25,4525.67,,,,,
22:30,4551.12,,,,,
22:35,4604.42,,,,,
22:40,4631.68,,,,,
22:45,4669.29,,,,,
22:50,4729.21,,,,,
22:55,4766.43,,,,,
23:00,4761.69,,,,,
23:05,4784.1,,,,,
23:10,4808.35,,,,,
23:15,4846.49,,,,,
23:20,4848.67,,,,,
23:25,4836.75,,,,,
23:30,4842.79,,,,,
23:35,4824.8,,,,,
23:40,4849.51,,,,,
23:45,4819.14,,,,,
23:50,4830.2,,,,,
23:55,4799.56,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
The site has been Accessed  ,,,,,,
,,,,,,
,,,,,,
