time,value,,,,,
,,,,,,
00:00,4781.76,,,,,
00:05,4756.7,,,,,
00:10,4746.61,,,,,
00:15,4767.1,,,,,
00:20,4730.59,,,,,
00:25,4721.02,,,,,
00:30,4713.31,,,,,
00:35,4672.61,,,,,
00:40,4659.75,,,,,
00:45,4658.35,,,,,
00:50,4631.83,,,,,
00:55,4630.19,,,,,
01:00,4623.66,,,,,
01:05,4597.27,,,,,
01:10,4570.65,,,,,
01:15,4561.08,,,,,
01:20,4545.81,,,,,
01:25,4526.18,,,,,
01:30,4527.33,,,,,
01:35,4469.67,,,,,
01:40,4462.02,,,,,
01:45,4428,,,,,
01:50,4419.43,,,,,
01:55,4403.64,,,,,
02:00,4378.85,,,,,
02:05,4342.94,,,,,
02:10,4329.06,,,,,
02:15,4317.21,,,,,
02:20,4297.59,,,,,
02:25,4271.85,,,,,
02:30,4266.81,,,,,
02:35,4249.95,,,,,
02:40,4243.68,,,,,
02:45,4207.25,,,,,
02:50,4200.44,,,,,
02:55,4184.3,,,,,
03:00,4176.77,,,,,
03:05,4147.23,,,,,
03:10,4138.24,,,,,
03:15,4120.62,,,,,
03:20,4086.22,,,,,
03:25,4097.43,,,,,
03:30,4069.13,,,,,
03:35,4071.15,,,,,
03:40,4034.35,,,,,
03:45,3987.47,,,,,
03:50,3991.19,,,,,
03:55,3972.15,,,,,
04:00,3970.13,,,,,
04:05,3954.41,,,,,
04:10,3953.27,,,,,
04:15,3928.05,,,,,
04:20,3921.63,,,,,
04:25,3906.02,,,,,
04:30,3889.19,,,,,
04:35,3893.1,,,,,
04:40,3874.83,,,,,
04:45,3859.49,,,,,
04:50,3838.3,,,,,
04:55,3842.37,,,,,
05:00,3830.33,,,,,
05:05,3829.52,,,,,
05:10,3823.93,,,,,
05:15,3813.77,,,,,
05:20,3763.32,,,,,
05:25,3641.99,,,,,
05:30,3615.07,,,,,
05:35,3606.96,,,,,
05:40,3603.45,,,,,
05:45,3570.66,,,,,
05:50,3555.28,,,,,
05:55,3544.05,,,,,
06:00,3536.73,,,,,
06:05,3535.64,,,,,
06:10,3494.33,,,,,
06:15,3522,,,,,
06:20,3528.43,,,,,
06:25,3556.34,,,,,
06:30,3551.83,,,,,
06:35,3555.35,,,,,
06:40,3547.9,,,,,
06:45,3550.72,,,,,
06:50,3558.61,,,,,
06:55,3539.09,,,,,
07:00,3517.7,,,,,
07:05,3545.79,,,,,
07:10,3507.68,,,,,
07:15,3530.1,,,,,
07:20,3548.1,,,,,
07:25,3548.78,,,,,
07:30,3540.06,,,,,
07:35,3540.3,,,,,
07:40,3587.01,,,,,
07:45,3564.49,,,,,
07:50,3558.26,,,,,
07:55,3519.39,,,,,
08:00,3536.77,,,,,
08:05,3574.01,,,,,
08:10,3547.91,,,,,
08:15,3590.93,,,,,
08:20,3603.12,,,,,
08:25,3595.58,,,,,
08:30,3606.8,,,,,
08:35,3583.58,,,,,
08:40,3592.17,,,,,
08:45,3631.21,,,,,
08:50,3627.54,,,,,
08:55,3657.81,,,,,
09:00,3662.56,,,,,
09:05,3685.11,,,,,
09:10,3744.5,,,,,
09:15,3803.66,,,,,
09:20,3837.74,,,,,
09:25,3886.84,,,,,
09:30,3906.63,,,,,
09:35,3961.64,,,,,
09:40,4013.85,,,,,
09:45,4075.27,,,,,
09:50,4105.88,,,,,
09:55,4108.15,,,,,
10:00,4163.78,,,,,
10:05,4210.16,,,,,
10:10,4272.3,,,,,
10:15,4300.97,,,,,
10:20,4324.08,,,,,
10:25,4336.04,,,,,
10:30,4407.66,,,,,
10:35,4430.83,,,,,
10:40,4454.6,,,,,
10:45,4462.15,,,,,
10:50,4473.3,,,,,
10:55,4465.45,,,,,
11:00,4490.09,,,,,
11:05,4498.25,,,,,
11:10,4499.4,,,,,
11:15,4523.38,,,,,
11:20,4564.72,,,,,
11:25,4542.48,,,,,
11:30,4536.87,,,,,
11:35,4603.9,,,,,
11:40,4591.08,,,,,
11:45,4580.48,,,,,
11:50,4602.92,,,,,
11:55,4610.72,,,,,
12:00,4612.89,,,,,
12:05,4602.09,,,,,
12:10,4620.63,,,,,
12:15,4599.79,,,,,
12:20,4666.28,,,,,
12:25,4638.39,,,,,
12:30,4646.32,,,,,
12:35,4638.46,,,,,
12:40,4646.56,,,,,
