time,value,,,,,
18:55,5300.14,,,,,
19:00,5288.39,,,,,
19:05,5255.1,,,,,
19:10,5283.27,,,,,
19:15,5269.46,,,,,
19:20,5267.89,,,,,
19:25,5282.63,,,,,
19:30,5316.33,,,,,
19:35,5280.41,,,,,
19:40,5353.81,,,,,
19:45,5308.42,,,,,
19:50,5333.9,,,,,
19:55,5362.85,,,,,
20:00,5358.91,,,,,
20:05,5322.68,,,,,
20:10,5360.09,,,,,
20:15,5410.93,,,,,
20:20,5393.03,,,,,
20:25,5422.32,,,,,
20:30,5406.88,,,,,
20:35,5411.7,,,,,
20:40,5416.49,,,,,
20:45,5430.44,,,,,
20:50,5490.59,,,,,
20:55,5451.51,,,,,
21:00,5463.97,,,,,
21:05,5503.54,,,,,
21:10,5479.85,,,,,
21:15,5539.56,,,,,
21:20,5575.01,,,,,
21:25,5691.07,,,,,
21:30,5682.03,,,,,
21:35,5716.07,,,,,
21:40,5748.37,,,,,
21:45,5770.1,,,,,
21:50,5819.87,,,,,
21:55,5925.74,,,,,
22:00,5995.35,,,,,
22:05,6006.19,,,,,
22:10,5973.94,,,,,
22:15,6060.25,,,,,
22:20,6082.41,,,,,
22:25,6121.97,,,,,
22:30,6114.63,,,,,
22:35,6180.34,,,,,
22:40,6191.28,,,,,
22:45,6222.15,,,,,
22:50,6261.71,,,,,
22:55,6240.32,,,,,
23:00,6233.53,,,,,
23:05,6246.6,,,,,
23:10,6275.6,,,,,
23:15,6206.2,,,,,
23:20,6233.22,,,,,
23:25,6232.72,,,,,
23:30,6277.17,,,,,
23:35,6275.01,,,,,
23:40,6256.7,,,,,
23:45,6240.77,,,,,
23:50,6268.43,,,,,
23:55,6236.47,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
The site has been Accessed  ,,,,,,
  times,,,,,,
,,,,,,
