time,value
,
00:00,5345.66
00:05,5317.52
00:10,5296.61
00:15,5294.88
00:20,5273.96
00:25,5243.47
00:30,5213.19
00:35,5235.92
00:40,5187.65
00:45,5167.93
00:50,5144.42
00:55,5125.94
01:00,5099.99
01:05,5076.17
01:10,5044.79
01:15,4991.54
01:20,4975.03
01:25,4943.07
01:30,4935.04
01:35,4912.4
01:40,4910.07
01:45,4847.81
01:50,4803.53
01:55,4797.59
02:00,4784.35
02:05,4765.36
02:10,4748.25
02:15,4723.2
02:20,4692.46
02:25,4662.72
02:30,4640.51
02:35,4608.08
02:40,4588.9
02:45,4577.45
02:50,4555.86
02:55,4503.06
03:00,4495.44
03:05,4480.93
03:10,4459.88
03:15,4453.48
03:20,4429.9
03:25,4405.43
03:30,4390.37
03:35,4381.29
03:40,4349.31
03:45,4344.21
03:50,4313.01
03:55,4305.8
04:00,4284.42
04:05,4259.02
04:10,4234.34
04:15,4223.2
04:20,4277.07
04:25,4248.95
04:30,4252.84
04:35,4246.62
04:40,4211.92
04:45,4206.1
04:50,4206.27
04:55,4164.93
05:00,4168.69
05:05,4140.62
05:10,4124.33
05:15,4094.54
05:20,3933.52
05:25,3905.37
05:30,3896.86
05:35,3798.79
05:40,3800.52
05:45,3775
05:50,3768.51
05:55,3741.3
06:00,3761.75
06:05,3728.32
06:10,3744.01
06:15,3720.89
06:20,3732.62
06:25,3713.83
06:30,3727.3
06:35,3727.08
06:40,3715.5
06:45,3710.06
06:50,3695.27
06:55,3680.36
07:00,3687.41
07:05,3679.78
07:10,3665.69
07:15,3641.13
07:20,3652.79
07:25,3651.1
07:30,3654.15
07:35,3665.04
07:40,3689.01
07:45,3691.67
07:50,3694.38
07:55,3686.79
08:00,3678.88
08:05,3688.68
08:10,3692.2
08:15,3728.39
08:20,3748.55
08:25,3710.81
08:30,3761.27
08:35,3836.82
08:40,3728.9
08:45,3787.56
08:50,3782.01
08:55,3773.91
09:00,3831.35
09:05,3821.5
09:10,3912.26
09:15,4012.18
09:20,4061
09:25,4109.93
09:30,4127.27
09:35,4196.57
09:40,4212.24
09:45,4248.87
09:50,4300.88
09:55,4329.63
10:00,4348.81
10:05,4397.67
10:10,4413.23
10:15,4445.29
10:20,4469.35
10:25,4476.3
10:30,4552.87
10:35,4628.79
10:40,4554.37
10:45,4604.67
10:50,4614.82
10:55,4633.91
11:00,4674.31
11:05,4697.67
11:10,4731.27
11:15,4730.52
11:20,4762.03
11:25,4756.97
11:30,4773.03
11:35,4805.42
11:40,4739.03
11:45,4865.99
11:50,4865.02
11:55,4846.52
12:00,4868.66
12:05,4876.88
12:10,4863.93
12:15,4909.57
12:20,4900.8
12:25,4933.95
12:30,4906.95
12:35,4931.87
12:40,4932.29
12:45,4868.6
12:50,4849.58
12:55,4892.05
13:00,4944.7
13:05,4843.46
13:10,4831.89
13:15,4812.54
13:20,4844.51
13:25,4873.27
13:30,4890.87
13:35,4906.65
13:40,4972.69
13:45,5028.54
13:50,5051.92
13:55,5109.87
14:00,5058.25
14:05,5108.27
14:10,5123.54
14:15,5173.2
14:20,5225.2
14:25,5291.29
14:30,5303.82
14:35,5368.18
14:40,5373.87
14:45,5411.83
14:50,5451.47
14:55,5582.82
15:00,5570.63
15:05,5589.47
15:10,5624.16
15:15,5659.28
15:20,5647.97
15:25,5638.04
15:30,5594
15:35,5538.46
15:40,5661.35
15:45,5611.87
15:50,5605.78
15:55,5570.81
16:00,5590.18
16:05,5507.42
16:10,5535.75
16:15,5526.65
16:20,5492.51
16:25,5405.14
16:30,5499.98
16:35,5444.81
16:40,5443.33
16:45,5404.95
16:50,5372.05
16:55,5326.15
17:00,5300.96
17:05,5247.04
17:10,5166.55
17:15,5207.67
17:20,5187.44
17:25,5119.9
17:30,5099.14
17:35,5052.41
17:40,5014.51
17:45,4971.46
17:50,4976.16
17:55,4922.68
18:00,4918.21
18:05,4845.11
18:10,4822.83
18:15,4819.41
18:20,4817.68
18:25,4811.88
18:30,4784.65
18:35,4768.81
18:40,4725.93
18:45,4751.3
18:50,4727.11
18:55,4718.07
19:00,4722.86
19:05,4694.41
19:10,4729.55
19:15,4698.46
19:20,4769.95
19:25,4736.9
19:30,4762.09
19:35,4768.15
19:40,4783.22
19:45,4783.45
19:50,4820.21
19:55,4840.12
20:00,4829.34
20:05,4798.4
20:10,4794.1
20:15,4774.65
20:20,4765.84
20:25,4797.49
20:30,4796.84
20:35,4809.1
20:40,4774.91
20:45,4762.4
20:50,4781.96
20:55,4803.17
21:00,4780.7
21:05,4798.24
21:10,4821.29
21:15,4850.82
21:20,4898.04
21:25,4957.76
21:30,4956.84
21:35,5014.65
21:40,5028.15
21:45,5080.77
21:50,5113.42
21:55,5207.73
22:00,5258.23
22:05,5253.29
22:10,5310.61
22:15,5364.67
22:20,5385.29
22:25,5428.42
22:30,5466.71
22:35,5485.13
22:40,5538.91
22:45,5589.76
22:50,5554.23
22:55,5590.69
23:00,5598.73
23:05,5560.74
23:10,5576.11
23:15,5574.93
23:20,5589.94
23:25,5551.18
23:30,5575.65
23:35,5590.47
23:40,5569.16
23:45,5580.49
23:50,5611.49
23:55,5546.51
,
,
,
,
The site has been Accessed  ,
,
,
