time,value
00:00,6156.900
00:05,6105.500
00:10,6070.310
00:15,6063.600
00:20,6060.600
00:25,5998.650
00:30,5993.650
00:35,5952.880
00:40,5924.610
00:45,5908.300
00:50,5874.630
00:55,5846.450
01:00,5812.980
01:05,5791.230
01:10,5761.240
01:15,5747.900
01:20,5717.930
01:25,5691.180
01:30,5679.190
01:35,5646.190
01:40,5620.710
01:45,5603.640
01:50,5586.520
01:55,5531.490
02:00,5530.540
02:05,5492.380
02:10,5464.120
02:15,5460.970
02:20,5433.550
02:25,5382.400
02:30,5375.820
02:35,5344.320
02:40,5324.150
02:45,5265.910
02:50,5308.100
02:55,5263.360
03:00,5215.290
03:05,5235.090
03:10,5206.630
03:15,5180.210
03:20,5176.830
03:25,5142.560
03:30,5125.510
03:35,5108.400
03:40,5083.140
03:45,5073.070
03:50,5055.760
03:55,5038.340
04:00,5034.310
04:05,4985.610
04:10,4966.820
04:15,4948.910
04:20,4936.340
04:25,4916.820
04:30,4877.490
04:35,4887.090
04:40,4837.470
04:45,4827.420
04:50,4802.350
04:55,4785.010
05:00,4770.440
05:05,4750.240
05:10,4719.720
05:15,4716.170
05:20,4715.960
05:25,4700.020
05:30,4688.960
05:35,4655.060
05:40,4626.130
05:45,4586.900
05:50,4553.310
05:55,4526.960
06:00,4519.520
06:05,4497.140
06:10,4472.400
06:15,4473.140
06:20,4479.100
06:25,4460.160
06:30,4435.590
06:35,4428.710
06:40,4417.510
06:45,4437.520
06:50,4464.310
06:55,4439.400
07:00,4367.970
07:05,4324.790
07:10,4331.160
07:15,4344.140
07:20,4343.200
07:25,4331.880
07:30,4348.400
07:35,4322.470
07:40,4320.860
07:45,4323.010
07:50,4308.660
07:55,4292.890
08:00,4305.690
08:05,4266.710
08:10,4305.710
08:15,4228.490
08:20,4288.190
08:25,4295.900
08:30,4323.870
08:35,4292.670
08:40,4294.170
08:45,4321.180
08:50,4261.020
08:55,4313.010
09:00,4306.630
09:05,4315.050
09:10,4366.940
09:15,4419.470
09:20,4436.850
09:25,4483.210
09:30,4496.640
09:35,4552.430
09:40,4573.420
09:45,4661.760
09:50,4657.400
09:55,4699.420
10:00,4694.370
10:05,4741.970
10:10,4785.160
10:15,4808.080
10:20,4862.980
10:25,4877.550
10:30,4873.980
10:35,4899.810
10:40,4918.810
10:45,4936.280
10:50,4940.480
10:55,4985.270
11:00,5007.250
11:05,4988.000
11:10,5020.630
11:15,5038.820
11:20,5067.820
11:25,5100.930
11:30,5093.430
11:35,5113.870
11:40,5156.310
11:45,5123.230
11:50,5191.450
11:55,5211.720
12:00,5197.480
12:05,5232.220
12:10,5205.580
12:15,5232.380
12:20,5029.510
12:25,5228.430
12:30,5237.120
12:35,5230.630
12:40,5272.940
12:45,5264.740
12:50,5292.680
12:55,5286.190
13:00,5256.710
13:05,5227.310
13:10,5232.010
13:15,5165.910
13:20,5166.710
13:25,5194.470
13:30,5220.860
13:35,5251.850
13:40,5278.420
13:45,5318.880
13:50,5383.410
13:55,5415.110
14:00,5409.520
14:05,5407.620
14:10,5404.470
14:15,5461.430
14:20,5498.220
14:25,5528.420
14:30,5517.910
14:35,5492.990
14:40,5571.990
14:45,5574.070
14:50,5605.550
14:55,5604.000
15:00,5620.470
15:05,5652.930
15:10,5650.170
15:15,5678.610
15:20,5678.030
15:25,5657.200
15:30,5617.880
15:35,5648.230
15:40,5674.860
15:45,5653.260
15:50,5636.670
15:55,5600.080
16:00,5609.480
16:05,5608.900
16:10,5638.210
16:15,5538.890
16:20,5578.040
16:25,5533.240
16:30,5520.740
16:35,5499.990
16:40,5477.950
16:45,5462.680
16:50,5420.350
16:55,5418.870
17:00,5423.380
17:05,5358.730
17:10,5323.020
17:15,5313.990
17:20,5318.200
17:25,5288.030
17:30,5255.830
17:35,5215.050
17:40,5249.640
17:45,5212.670
17:50,5220.530
17:55,5155.070
18:00,5177.200
18:05,5148.400
18:10,5137.080
18:15,5112.340
18:20,5106.910
18:25,5130.170
18:30,5141.900
18:35,5162.010
18:40,5172.900
18:45,5209.150
18:50,5233.210
18:55,5261.370
19:00,5296.130
19:05,5229.370
19:10,5273.020
19:15,5285.090
19:20,5293.860
19:25,5318.480
19:30,5319.600
19:35,5281.900
19:40,5258.540
19:45,5308.230
19:50,5277.980
19:55,5324.660
20:00,5313.140
20:05,5322.740
20:10,5331.780
20:15,5344.250
20:20,5312.890
20:25,5341.350
20:30,5312.670
20:35,5353.540
20:40,5320.910
20:45,5341.410
20:50,5343.550
20:55,5318.530
21:00,5351.290
21:05,5287.980
21:10,5284.200
21:15,5374.390
21:20,5416.430
21:25,5459.320
21:30,5524.420
21:35,5507.390
21:40,5540.080
21:45,5568.580
21:50,5615.380
21:55,5639.500
22:00,5715.970
22:05,5661.650
22:10,5710.280
22:15,5702.650
22:20,5745.040
22:25,5771.070
22:30,5827.170
22:35,5829.350
22:40,5855.870
22:45,5881.020
22:50,5903.310
22:55,5891.820
23:00,5924.070
23:05,5914.280
23:10,5929.650
23:15,5936.030
23:20,5927.680
23:25,5953.280
23:30,5935.290
23:35,5933.500
23:40,5902.710
23:45,5896.650
23:50,5890.830
23:55,5854.200
